kodi_institucioni,emertimi,real_nipt,nipt_source
INST-0257,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Diber,,unknown - not seen in KPP
INST-0258,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Durres,,unknown - not seen in KPP
INST-0259,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Elbasan,,unknown - not seen in KPP
INST-0260,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Fier,,unknown - not seen in KPP
INST-0261,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Gjirokaster,,unknown - not seen in KPP
INST-0262,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Korçe,,unknown - not seen in KPP
INST-0263,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Kukes,,unknown - not seen in KPP
INST-0264,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Lac,,unknown - not seen in KPP
INST-0265,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Sarande,,unknown - not seen in KPP
INST-0266,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Shkoder,,unknown - not seen in KPP
INST-0267,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Tirane,,unknown - not seen in KPP
INST-0268,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Vlore,K16909202I,kpp_appeal.ak_nipt (name-matched)
INST-0269,Drejtoria Rajonale e Shërbimit Veterinar dhe Mbrojtjes së Bimëve Elbasan,,unknown - not seen in KPP
INST-0270,Drejtoria Rajonale e Shërbimit Veterinar dhe Mbrojtjes së Bimëve Shkodër,,unknown - not seen in KPP
INST-0271,Drejtoria Rajonale e Sigurimeve Shoqerore Berat,K52917021P,kpp_appeal.ak_nipt (name-matched)
INST-0272,Drejtoria Rajonale e Sigurimeve Shoqerore Diber,K46908796Q,kpp_appeal.ak_nipt (name-matched)
INST-0273,Drejtoria Rajonale e Sigurimeve Shoqerore Durres,K42312504L,kpp_appeal.ak_nipt (name-matched)
INST-0274,Drejtoria Rajonale e Sigurimeve Shoqerore Elbasan,K52905210V,kpp_appeal.ak_nipt (name-matched)
INST-0275,Drejtoria Rajonale e Sigurimeve Shoqerore Fier,K52906428R,kpp_appeal.ak_nipt (name-matched)
INST-0276,Drejtoria Rajonale e Sigurimeve Shoqerore Gjirokaster,,unknown - not seen in KPP
INST-0277,Drejtoria Rajonale e Sigurimeve Shoqerore Korce,,unknown - not seen in KPP
INST-0278,Drejtoria Rajonale e Sigurimeve Shoqerore Kukes,,unknown - not seen in KPP
INST-0279,Drejtoria Rajonale e Sigurimeve Shoqerore Lezhe,,unknown - not seen in KPP
INST-0280,Drejtoria Rajonale e Sigurimeve Shoqerore Sarande,,unknown - not seen in KPP
INST-0281,Drejtoria Rajonale e Sigurimeve Shoqerore Tirane,K51802011U,kpp_appeal.ak_nipt (name-matched)
INST-0282,Drejtoria Rajonale e Sigurimeve Shoqerore Tropoje,,unknown - not seen in KPP
INST-0283,Drejtoria Rajonale e Sigurimeve Shoqerore Vlore,,unknown - not seen in KPP
INST-0284,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Berat,,unknown - not seen in KPP
INST-0285,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Diber,,unknown - not seen in KPP
INST-0286,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Elbasan,,unknown - not seen in KPP
INST-0287,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Kukes,,unknown - not seen in KPP
INST-0288,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Tirane,,unknown - not seen in KPP
INST-0289,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Vlore,,unknown - not seen in KPP
INST-0290,Drejtoria Rajonale e Sigurimit te Kujdesit Shendetesor Durres,,unknown - not seen in KPP
INST-0291,Drejtoria Rajonale e Tatimeve Diber,,unknown - not seen in KPP
INST-0292,Drejtoria Rajonale e Tatimeve Durres,,unknown - not seen in KPP
