kodi_institucioni,emertimi
INST-0441,Gjykata e Rrethit Gjyqesor Korce
INST-0442,Gjykata e Rrethit Gjyqesor Kukes
INST-0443,Gjykata e Rrethit Gjyqesor Lezhe
INST-0444,Gjykata e Rrethit Gjyqesor Sarande
INST-0445,Gjykata e Rrethit Gjyqesor Shkoder
INST-0446,Gjykata e Rrethit Gjyqesor Tirane
INST-0447,Gjykata e Shkalles se Pare e Juridiksionit te Pergjithshem Gjirokster
INST-0448,Gjykata e Shkallës së Parë e Juridiksionit të Përgjithshëm Dibër
INST-0449,Gjykata e Shkallës së Parë e Juridiksionit të Përgjithshëm Vlorë
INST-0450,Green Belsh Sh.a
INST-0451,Green Kolonja Sh.A
INST-0452,HEC LANABREGAS sh.a
INST-0453,Hekurudha Shqiptare sh.a
INST-0454,ILLYRIAN GUARD SH.A
INST-0455,INSTITUCIONI I EKZEKUTIMIT TE VENDIMEVE PENALE POJSKE
INST-0456,Identitek Sh.a
INST-0457,Inspektorati Kombetar i Mbrojtjes se Territorit
INST-0458,Inspektorati Larte Deklarimit dhe Kontrollit Pasurive
INST-0459,Inspektorati Qendror
INST-0460,Inspektorati Shteteror Shendetesor Diber
INST-0461,Inspektorati Shteteror Teknik dhe Industrial
INST-0462,Inspektorati Shteteror i Mbikeqyrjes se Tregut
INST-0463,Inspektorati Shteteror i Punes dhe Sherbimeve Shoqerore Tirane
INST-0464,"Inspektorati i Mbrojtjes se Territorit, Bashkia Tirane"
INST-0465,Inspektori i Larte i Drejtesise
INST-0466,Institucioni i Ekzekutimit Te Vendimeve Penale Burrel
INST-0467,Institucioni i Ekzekutimit Te Vendimeve Penale Fushe Kruje
INST-0468,Institucioni i Ekzekutimit Te Vendimeve Penale Jordan Misja Tirane
INST-0469,Institucioni i Ekzekutimit Te Vendimeve Penale Korce
INST-0470,Institucioni i Ekzekutimit Te Vendimeve Penale Lezhe
INST-0471,Institucioni i Ekzekutimit Te Vendimeve Penale Paraburgimi Mine Peza
INST-0472,Institucioni i Ekzekutimit Te Vendimeve Penale Paraburgimi Vlore
